RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =           13     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     1.684D+01  9.811D+01
   61   75     0     0  con    0  1.0D+00  1.6D-02  1.159D-02 -5.509D+01
   62   76     0     0  con    0  1.0D+00  8.2D-03  1.349D-02 -5.509D+01
   63   77     0     0  con    0  1.0D+00  1.2D-02  1.742D-02 -5.509D+01
   64   78     0     0  con    0  1.0D+00  9.7D-03  8.847D-03 -5.509D+01
   65   79     0     0  con    0  1.0D+00  9.4D-03  3.271D-02 -5.509D+01
   66   80     0     0  con    0  1.0D+00  3.6D-03  4.181D-03 -5.509D+01
   67   81     0     0  con    0  1.0D+00  1.9D-03  5.342D-03 -5.509D+01
   68   82     0     0  con    0  1.0D+00  1.9D-03  1.045D-02 -5.509D+01
   69   83     0     0  con    0  1.0D+00  5.4D-03  1.858D-02 -5.509D+01
   70   84     0     0  con    0  1.0D+00  8.6D-03  2.248D-02 -5.509D+01
   71   86     0     0  con    1  3.8D-01  8.3D-03  1.747D-02 -5.509D+01
   72   87     0     0  con    0  1.0D+00  6.0D-03  8.519D-03 -5.509D+01
   73   88     0     0  con    0  1.0D+00  2.7D-03  2.153D-03 -5.509D+01
   74   89     0     0  con    0  1.0D+00  2.4D-03  6.862D-03 -5.509D+01
   75   90     0     0  con    0  1.0D+00  2.3D-03  1.138D-02 -5.509D+01
   76   91     0     0  con    0  1.0D+00  7.0D-03  1.972D-02 -5.509D+01
   77   92     0     0  con    0  1.0D+00  1.3D-02  2.488D-02 -5.509D+01
   78   93     0     0  con    0  1.0D+00  2.5D-02  6.566D-02 -5.509D+01
   79   94     0     0  con    0  1.0D+00  1.2D-02  2.843D-02 -5.509D+01
   80   95     0     0  con    0  1.0D+00  5.4D-03  5.935D-03 -5.509D+01
   81   96     0     0  con    0  1.0D+00  5.3D-03  5.893D-03 -5.509D+01
   82   97     0     0  con    0  1.0D+00  3.1D-03  5.852D-03 -5.509D+01
   83   98     0     0  con    0  1.0D+00  1.6D-02  1.291D-02 -5.509D+01
   84   99     0     0  con    0  1.0D+00  6.0D-03  3.120D-03 -5.509D+01
   85  100     0     0  con    0  1.0D+00  2.8D-03  3.886D-03 -5.509D+01
   86  101     0     0  con    0  1.0D+00  3.8D-03  4.640D-03 -5.509D+01
   87  102     0     0  con    0  1.0D+00  4.2D-03  7.364D-03 -5.509D+01
   88  103     0     0  con    0  1.0D+00  7.4D-03  8.885D-03 -5.509D+01
   89  104     0     0  con    0  1.0D+00  2.9D-02  1.270D-02 -5.509D+01
   90  105     0     0  con    0  1.0D+00  2.0D-02  5.079D-02 -5.509D+01
   91  106     0     0  con    0  1.0D+00  4.7D-03  1.672D-02 -5.509D+01
   92  107     0     0  con    0  1.0D+00  1.1D-02  7.071D-03 -5.509D+01
   93  108     0     0  con    0  1.0D+00  1.4D-02  1.190D-02 -5.509D+01
   94  109     0     0  con    0  1.0D+00  2.6D-02  1.295D-02 -5.509D+01
   95  110     0     0  con    0  1.0D+00  5.9D-02  1.880D-02 -5.509D+01
   96  112     0     0  con    1  4.8D-01  3.2D-02  2.528D-02 -5.509D+01
   97  113     0     0  con    0  1.0D+00  6.8D-02  1.576D-02 -5.509D+01
   98  115     0     0  con    1  5.2D-01  8.7D-03  6.735D-03 -5.509D+01
   99  116     0     0  con    0  1.0D+00  1.3D-02  2.574D-03 -5.509D+01
  100  117     0     0  con    0  1.0D+00  9.7D-03  2.338D-03 -5.509D+01
  101  118     0     0  con    0  1.0D+00  5.9D-03  7.934D-03 -5.509D+01
